Id,Label,Category,Name
0,Access Business Group International,Others,Access Business Group International
1,Afghanistan,Recep_State,
2,Africa - Regional Office,Recep_Regional Office,
3,African Development Bank Group,Development Banks and Funds,African Development Bank Group
4,African Field Epidemiology Network (AFENET),Non Governmental Organizations,African Field Epidemiology Network (AFENET)
5,African Leaders Malaria Alliance (ALMA),Intergovernmental Organizations,African Leaders Malaria Alliance (ALMA)
6,Age UK,Non Governmental Organizations,Age UK
7,Agence de Médecine Préventive (AMP),Non Governmental Organizations,Agence de Médecine Préventive (AMP)
8,"Agence Francaise de Développement (AFD), France",Member States - Voluntary Specified,France
9,"Agencia Nacional de Vigilancia Sanitaria (ANVISA), Brazil",Member States - Voluntary Specified,Brazil
10,"Agenzia Nazionale Per I Servizi Sanitari Regionali (Agenas), Italy",Member States - Voluntary Specified,Italy
11,"Agriculture and Agri-food Canada (AAFC), Canada",Member States - Voluntary Specified,Canada
12,Albania,Recep_State,
13,Algeria,Recep_State,
14,Alliance for Health Policy and Systems Research (AHPSR),Others,Alliance for Health Policy and Systems Research (AHPSR)
15,Alzheimer's Association,Non Governmental Organizations,Alzheimer's Association
16,American Jewish World Service (AJWS),Non Governmental Organizations,American Jewish World Service (AJWS)
17,American Leprosy Missions (ALM),Non Governmental Organizations,American Leprosy Missions (ALM)
18,American Samoa,Recep_State,
19,Americans for UNFPA,Non Governmental Organizations,Americans for UNFPA
20,Americas - Regional Office,Recep_Regional Office,
21,Angola,Member States - Voluntary Specified,Angola
22,Anguilla,Recep_State,
23,Antenna Foundation,Non Governmental Organizations,Antenna Foundation
24,Antigua and Barbuda,Recep_State,
25,Aquasure SAS,Private Sector Entities,Aquasure SAS
26,Arab Gulf Programme for United Nations Development Organizations (AGFUND),Development Banks and Funds,Arab Gulf Programme for United Nations Development Organizations (AGFUND)
27,Argentina,Recep_State,
28,Armenia,Member States - Voluntary Specified,Armenia
29,Asia-Europe Foundation (ASEF),Intergovernmental Organizations,Asia-Europe Foundation (ASEF)
30,Assessed Contributions,Assessed Contributions,Assessed Contributions
31,Association For Promoting Research In Nova Medical School (APIFCM),Non Governmental Organizations,Association For Promoting Research In Nova Medical School (APIFCM)
32,Association for Reproductive and Family Health (ARFH),Non Governmental Organizations,Association for Reproductive and Family Health (ARFH)
33,Athena Institute,Academic Institutions,Athena Institute
34,Australia,Member States - Voluntary Specified,Australia
35,Australian Agency for International Development (AusAID),Member States - Voluntary Specified,Australia
36,Australian Radiation Protection and Nuclear Safety Agency (ARPANSA),Member States – Voluntary Thematic,Australia
37,Australian Red Cross Blood Service (ARCBS),Non Governmental Organizations,Australian Red Cross Blood Service (ARCBS)
38,Austria,Member States - Voluntary Specified,Austria
39,Autism Speaks,Non Governmental Organizations,Autism Speaks
40,Azerbaijan,Member States - Voluntary Specified,Azerbaijan
41,Bahamas,Recep_State,
42,Bahrain,Recep_State,
43,Bangladesh,Member States - Voluntary Specified,Bangladesh
44,Barbados,Recep_State,
45,BASF Corporation,Private Sector Entities,BASF Corporation
46,Basic Water Needs BV,Private Sector Entities,Basic Water Needs BV
47,Baxter International Inc.,Private Sector Entities,Baxter International Inc.
48,Bayer AG,Private Sector Entities,Bayer AG
49,Becton Dickinson and Company (BD),Private Sector Entities,Becton Dickinson and Company (BD)
50,Belarus,Member States - Voluntary Specified,Belarus
51,Belize,Recep_State,
52,Benin,Member States - Voluntary Specified,Benin
53,Bermuda,Recep_State,
54,Bernard van Leer Foundation (BvLF),Philanthropic Foundations,Bernard van Leer Foundation (BvLF)
55,Bhutan,Member States - Voluntary Specified,Bhutan
56,Bill & Melinda Gates Foundation,Philanthropic Foundations,Bill & Melinda Gates Foundation
57,BioCool AB,Private Sector Entities,BioCool AB
58,Bloomberg Family Foundation,Philanthropic Foundations,Bloomberg Family Foundation
59,Bolivia (Plurinational State of),Member States - Voluntary Specified,Bolivia (Plurinational State of)
60,Book Aid International (BAI),Non Governmental Organizations,Book Aid International (BAI)
61,Borrow Dental Milk Foundation,Non Governmental Organizations,Borrow Dental Milk Foundation
62,Bosnia and Herzegovina,Member States - Voluntary Specified,Bosnia and Herzegovina
63,Botswana,Recep_State,
64,Brazil,Member States - Voluntary Specified,Brazil
65,Brighton Collaboration Foundation,Philanthropic Foundations,Brighton Collaboration Foundation
66,Bristol-Myers Squibb Foundation,Private Sector Entities,Bristol-Myers Squibb Foundation
67,Brunei Darussalam,Recep_State,
68,Bulgaria,Member States - Voluntary Specified,Bulgaria
69,"Bundesamt für Umwelt (BAFU), Switzerland",Member States - Voluntary Specified,Switzerland
70,Burkina Faso,Member States - Voluntary Specified,Burkina Faso
71,Burundi,Recep_State,
72,Cabo Verde,Recep_State,
73,Cambodia,Member States - Voluntary Specified,Cambodia
74,Cameroon,Member States - Voluntary Specified,Cameroon
75,Canada,Member States - Voluntary Specified,Canada
76,Canadian Food Inspection Agency (CFIA),Member States - Voluntary Specified,Canada
77,Canadian Institutes of Health Research,Member States - Voluntary Specified,Canada
78,Canadian International Development Agency (CIDA/ACDI),Member States - Voluntary Specified,Canada
79,Care International,Non Governmental Organizations,Care International
80,Caribbean Region,Others,Caribbean Region
81,Carter Center,Non Governmental Organizations,Carter Center
82,Cayman Islands,Recep_State,
83,CDC Foundation,Philanthropic Foundations,CDC Foundation
84,"Centers for Disease Control and Prevention (CDC), United States of America",Member States - Voluntary Specified,United States of America
85,Central African Republic,Member States - Voluntary Specified,Central African Republic
86,Chad,Member States - Voluntary Specified,Chad
87,Chiba University,Academic Institutions,Chiba University
88,Child Health Research Foundation (CHRF),Philanthropic Foundations,Child Health Research Foundation (CHRF)
89,Children's Investment Fund Foundation (UK),Philanthropic Foundations,Children's Investment Fund Foundation (UK)
90,Chile,Recep_State,
91,China,Member States - Voluntary Specified,China
92,Christoffel-Blindenmission,Non Governmental Organizations,Christoffel-Blindenmission
93,Clarke Mosquito,Private Sector Entities,Clarke Mosquito
94,Colombia,Member States - Voluntary Specified,Colombia
95,Community Development Fund,Non Governmental Organizations,Community Development Fund
96,Comoros,Recep_State,
97,Congo,Recep_State,
98,"Consejo de Seguridad Nuclear, Spain",Member States - Voluntary Specified,Spain
99,"Consumers, Health, Agriculture and Food Executive Agency (CHAFEA), European Commission",Intergovernmental Organizations,European Commission
100,Cook Islands,Recep_State,
101,Cooperazione Italiana - Direzione Generale per la Cooperazione allo Sviluppo (DGCS),Member States - Voluntary Specified,Italy
102,Core Voluntary Contributions,Core Voluntary Contributions,Core Voluntary Contributions
103,Costa Rica,Recep_State,
104,Côte d'Ivoire,Member States - Voluntary Specified,Côte d'Ivoire
105,Croatia,Recep_State,
106,Cuba,Member States - Voluntary Specified,Cuba
107,Czechia,Member States - Voluntary Specified,Czechia
108,David and Lucile Packard Foundation,Philanthropic Foundations,David and Lucile Packard Foundation
109,Dayone Response Inc.,Private Sector Entities,Dayone Response Inc.
110,"Defense Threat Reduction Agency (DTRA), United States of America",Member States - Voluntary Specified,United States of America
111,Democratic People's Republic of Korea,Member States - Voluntary Specified,Democratic People's Republic of Korea
112,Democratic Republic of the Congo,Member States - Voluntary Specified,Democratic Republic of the Congo
113,Denmark,Member States - Voluntary Specified,Denmark
114,"Département du Rhône, France",Local Governments,"Département du Rhône, France"
115,"Department for International Development (DFID), United Kingdom",Member States - Voluntary Specified,United Kingdom of Great Britain and Northern Ireland
116,"Department of Agriculture, Fisheries and Forestry (DAFF), Australia",Member States - Voluntary Specified,Australia
117,"Department of Foreign Affairs and Trade (DFAT), Australia",Member States - Voluntary Specified,Australia
118,"Department of Foreign Affairs, Trade and Development (DFATD), Canada",Member States - Voluntary Specified,Canada
119,"Department of Health and Ageing (DOHA), Australia",Member States – Voluntary Thematic,Australia
120,"Department of Health, Philippines",Member States - Voluntary Specified,Philippines
121,"Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ), Germany",Member States - Voluntary Specified,Germany
122,"DG Education and Culture (EAC), European Commission",Intergovernmental Organizations,European Commission
123,"DG Environment, European Commission",Intergovernmental Organizations,European Commission
124,"DG for Employment, Social Affairs and Inclusion, European Commission",Intergovernmental Organizations,European Commission
125,"DG for Neighbourhood and Enlargement Negotiations (NEAR), European Commission",Intergovernmental Organizations,European Commission
126,"DG for Trade, European Commission",Intergovernmental Organizations,European Commission
127,"Directorate-General for European Civil Protection and Humanitarian Aid Operations (ECHO), European Commission",Intergovernmental Organizations,European Commission
128,"Directorate-General for International Partnerships (INTPA), European Commission",Intergovernmental Organizations,European Commission
129,Disease Control Technologies,Academic Institutions,Disease Control Technologies
130,Djibouti,Recep_State,
131,Dominica,Recep_State,
132,Dominican Republic,Member States - Voluntary Specified,Dominican Republic
133,Durham University,Academic Institutions,Durham University
134,Eastern Mediterranean - Regional Office,Recep_Regional Office,
135,Ecuador,Member States - Voluntary Specified,Ecuador
136,Egypt,Member States - Voluntary Specified,Egypt
137,"Eisai Co., Ltd.",Private Sector Entities,"Eisai Co., Ltd."
138,El Salvador,Member States - Voluntary Specified,El Salvador
139,"Eli Lilly and Company Foundation, UK",Private Sector Entities,"Eli Lilly and Company Foundation, UK"
140,Emirates Red Crescent,Non Governmental Organizations,Emirates Red Crescent
141,End Fund,Non Governmental Organizations,End Fund
142,Equatorial Guinea,Member States - Voluntary Specified,Equatorial Guinea
143,Eritrea,Member States - Voluntary Specified,Eritrea
144,Estate of EB Spanjer,Individuals,Estate of EB Spanjer
145,Estonia,Recep_State,
146,Eswatini,Member States - Voluntary Specified,Eswatini
147,Ethiopia,Member States - Voluntary Specified,Ethiopia
148,Europe - Regional Office,Recep_Regional Office,
149,European Commission,Intergovernmental Organizations,European Commission
150,European Respiratory Society (ERS),Non Governmental Organizations,European Respiratory Society (ERS)
151,Family Health International (FHI),Non Governmental Organizations,Family Health International (FHI)
152,"Federal Foreign Office, Germany",Member States - Voluntary Specified,Germany
153,"Federal Ministry for Economic Cooperation and Development (BMZ), Germany",Member States - Voluntary Specified,Germany
154,"Federal Ministry for the Environment, Nature Conservation and Nuclear Safety, Germany",Member States - Voluntary Specified,Germany
155,"Federal Ministry of Consumer Protection Food and Agriculture (BMELV), Germany",Member States - Voluntary Specified,Germany
156,"Federal Office of Public Health (FOPH), Switzerland",Member States - Voluntary Specified,Switzerland
157,"Federal Public Service of Foreign Affairs, Foreign Trade and Development Cooperation, Belgium",Member States - Voluntary Specified,Belgium
158,FIA Foundation,Non Governmental Organizations,FIA Foundation
159,FIA Foundation for the Automobile and Society,Philanthropic Foundations,FIA Foundation for the Automobile and Society
160,Fiji,Member States - Voluntary Specified,Fiji
161,Finland,Member States – Voluntary Thematic,Finland
162,Fondation d'Entreprise Sanofi Espoir,Private Sector Entities,Fondation d'Entreprise Sanofi Espoir
163,Fondation d'Harcourt,Philanthropic Foundations,Fondation d'Harcourt
164,Fondation Raoul Follereau,Philanthropic Foundations,Fondation Raoul Follereau
165,Food and Agriculture Organization (FAO),United Nations Organizations,Food and Agriculture Organization (FAO)
166,"Food and Drug Administration (USFDA), United States of America",Member States - Voluntary Specified,United States of America
167,Ford Foundation,Private Sector Entities,Ford Foundation
168,Foundation for AIDS Research (amfAR),Non Governmental Organizations,Foundation for AIDS Research (amfAR)
169,Foundation for Innovative New Diagnostics (FIND),Non Governmental Organizations,Foundation for Innovative New Diagnostics (FIND)
170,Fountain House Inc.,Non Governmental Organizations,Fountain House Inc.
171,France,Member States - Voluntary Specified,France
172,Fred Hollows Foundation (FHF),Non Governmental Organizations,Fred Hollows Foundation (FHF)
173,French Polynesia,Recep_State,
174,Fundacao Calouste Gulbenkian,Philanthropic Foundations,Fundacao Calouste Gulbenkian
175,Fundacio Clinic per a la Recerca Biomedica (Barcelona),Academic Institutions,Fundacio Clinic per a la Recerca Biomedica (Barcelona)
176,Fundación Anesvad,Non Governmental Organizations,Fundación Anesvad
177,Fundación Probitas,Private Sector Entities,Fundación Probitas
178,Gabon,Member States - Voluntary Specified,Gabon
179,Gambia,Member States - Voluntary Specified,Gambia
180,GAVI Alliance,Partnerships,GAVI Alliance
181,"Generalitat de Catalunya, Spain",Local Governments,"Generalitat de Catalunya, Spain"
182,Georgia,Member States - Voluntary Specified,Georgia
183,Germany,Member States - Voluntary Specified,Germany
184,Ghana,Member States - Voluntary Specified,Ghana
185,Gharda Chemicals Limited,Private Sector Entities,Gharda Chemicals Limited
186,Gilead Sciences Inc.,Private Sector Entities,Gilead Sciences Inc.
187,GlaxoSmithKline (GSK),Private Sector Entities,GlaxoSmithKline (GSK)
188,Global Affairs Canada,Member States - Voluntary Specified,Canada
189,Global Alliance for Improved Nutrition (GAIN),Non Governmental Organizations,Global Alliance for Improved Nutrition (GAIN)
190,"Global Fund to Fight AIDS, Tuberculosis and Malaria (GFATM)",Partnerships,"Global Fund to Fight AIDS, Tuberculosis and Malaria (GFATM)"
191,Gordon And Betty Moore Foundation,Philanthropic Foundations,Gordon And Betty Moore Foundation
192,"Government of Flanders, Belgium",Local Governments,"Government of Flanders, Belgium"
193,"Government Of Punjab, Pakistan",Local Governments,"Government Of Punjab, Pakistan"
194,Grand Challenges Canada,Non Governmental Organizations,Grand Challenges Canada
195,Greece,Member States - Voluntary Specified,Greece
196,Grenada,Recep_State,
197,Guam,Recep_State,
198,Guatemala,Member States - Voluntary Specified,Guatemala
199,Guinea,Member States - Voluntary Specified,Guinea
200,Guinea-Bissau,Member States - Voluntary Specified,Guinea-Bissau
201,Guyana,Member States - Voluntary Specified,Guyana
202,H.D. Hudson Manufacturing Company,Private Sector Entities,H.D. Hudson Manufacturing Company
203,Haiti,Member States - Voluntary Specified,Haiti
204,Harvestplus,Non Governmental Organizations,Harvestplus
205,Headquarters,,
206,"Health Insurance Review and Assessment Service, Republic of Korea (HIRA)",Member States - Voluntary Specified,Republic of Korea
207,Hearing Conservation Council (HCC),Non Governmental Organizations,Hearing Conservation Council (HCC)
208,Helmholtz-Zentrum Geesthacht Zentrum für Material-und Kustenforschung GmbH (HZG),Academic Institutions,Helmholtz-Zentrum Geesthacht Zentrum für Material-und Kustenforschung GmbH (HZG)
209,Hilfsaktion Noma e.V.,Non Governmental Organizations,Hilfsaktion Noma e.V.
210,Hindustan Syringes & Medical Devices Ltd. (HMD),Private Sector Entities,Hindustan Syringes & Medical Devices Ltd. (HMD)
211,Honduras,Member States - Voluntary Specified,Honduras
212,"Hong Kong, SAR, People’s Republic of China",Local Governments,"Hong Kong, SAR, People’s Republic of China"
213,HRH Princess Haya Bint Al Hussein HRH,Individuals,HRH Princess Haya Bint Al Hussein HRH
214,Hungary,Member States - Voluntary Specified,Hungary
215,"Hunter New England Local Health District, Australia",Local Governments,"Hunter New England Local Health District, Australia"
216,Hydrachem Limited,Private Sector Entities,Hydrachem Limited
217,"Hyogo Earthquake Memorial 21St Century Research Institute (HEMRI), Japan",Philanthropic Foundations,"Hyogo Earthquake Memorial 21St Century Research Institute (HEMRI), Japan"
218,Ikea Foundation,Private Sector Entities,Ikea Foundation
219,Imperial College of Science Technology and Medicine,Academic Institutions,Imperial College of Science Technology and Medicine
220,India,Member States - Voluntary Specified,India
221,Indonesia,Member States - Voluntary Specified,Indonesia
222,Innovation Norway,Academic Institutions,Innovation Norway
223,"Institut National du Cancer (INCa), France",Member States - Voluntary Specified,France
224,"Institute of Food Research (IFR), United Kingdom",Private Sector Entities,"Institute of Food Research (IFR), United Kingdom"
225,International Agency for the Prevention of Blindness (IAPB),Non Governmental Organizations,International Agency for the Prevention of Blindness (IAPB)
226,International Company for Medical Necessities,Private Sector Entities,International Company for Medical Necessities
227,International Development Association (IDA),Development Banks and Funds,International Development Association (IDA)
228,International Development Research Centre (IDRC),Academic Institutions,International Development Research Centre (IDRC)
229,International Federation for Medical and Biological Engineering (IFMBE),Non Governmental Organizations,International Federation for Medical and Biological Engineering (IFMBE)
230,International Federation of Anthroposophic Medical Associations,Non Governmental Organizations,International Federation of Anthroposophic Medical Associations
231,International Federation of Oto-Rhino-Laryngological Societies (IFOS),Non Governmental Organizations,International Federation of Oto-Rhino-Laryngological Societies (IFOS)
232,International Federation of Pharmaceutical Manufacturers Associations,Non Governmental Organizations,International Federation of Pharmaceutical Manufacturers Associations
233,International Labour Organization (ILO),United Nations Organizations,International Labour Organization (ILO)
234,International Life Sciences Institute,Non Governmental Organizations,International Life Sciences Institute
235,International Organization for Migration (IOM),Intergovernmental Organizations,International Organization for Migration (IOM)
236,International Pharmaceutical Federation (FIP),Private Sector Entities,International Pharmaceutical Federation (FIP)
237,International Planned Parenthood Federation (IPPF),Non Governmental Organizations,International Planned Parenthood Federation (IPPF)
238,International Society of Audiology (AUDI),Non Governmental Organizations,International Society of Audiology (AUDI)
239,International Telecommunication Union (ITU),United Nations Organizations,International Telecommunication Union (ITU)
240,"International Tuberculosis Research Center, Republic of Korea (ITRC)",Academic Institutions,"International Tuberculosis Research Center, Republic of Korea (ITRC)"
241,International Union against Tuberculosis and Lung Disease (IUATLD),Non Governmental Organizations,International Union against Tuberculosis and Lung Disease (IUATLD)
242,International Vaccine Institute (IVI),Non Governmental Organizations,International Vaccine Institute (IVI)
243,International Water Association (IWA),Non Governmental Organizations,International Water Association (IWA)
244,Iran (Islamic Republic of),Recep_State,
245,Iraq,Member States - Voluntary Specified,Iraq
246,Irish Aid,Member States - Voluntary Specified,Ireland
247,Israel,Member States - Voluntary Specified,Israel
248,"Istituto Nazionale di Geofisica e Vulcanologis (INVG), Italy",Member States – Voluntary Thematic,Italy
249,"Istituto Superiore di Sanità, Italy",Academic Institutions,"Istituto Superiore di Sanità, Italy"
250,Italy,Member States - Voluntary Specified,Italy
251,Jamaica,Recep_State,
252,Japan,Member States – Voluntary Thematic,Japan
253,Japan Hospital Association (JHA),Non Governmental Organizations,Japan Hospital Association (JHA)
254,Japan Liaison of Oriental Medicine (JLOM),Non Governmental Organizations,Japan Liaison of Oriental Medicine (JLOM)
255,Japan Private Kindergarten Association,Non Governmental Organizations,Japan Private Kindergarten Association
256,Japanese Association of Psychiatric Hospitals,Non Governmental Organizations,Japanese Association of Psychiatric Hospitals
257,Japanese International Cooperation Agency (JICA),Member States - Voluntary Specified,Japan
258,Jiangsu Yangnong Chemical Co. Ltd.,Private Sector Entities,Jiangsu Yangnong Chemical Co. Ltd.
259,JMI Syringes & Medical Devices Ltd.,Private Sector Entities,JMI Syringes & Medical Devices Ltd.
260,Johann Jacobs Foundation,Philanthropic Foundations,Johann Jacobs Foundation
261,John D. and Catherine T. Macarthur Foundation,Philanthropic Foundations,John D. and Catherine T. Macarthur Foundation
262,Johns Hopkins Bloomberg School of Public Health,Academic Institutions,Johns Hopkins Bloomberg School of Public Health
263,Johns Hopkins University,Academic Institutions,Johns Hopkins University
264,"Johnson and Johnson Family of Companies Contribution Fund, Inc.",Private Sector Entities,"Johnson and Johnson Family of Companies Contribution Fund, Inc."
265,Joint United Nations Programme on HIV/AIDS (UNAIDS),United Nations Organizations,Joint United Nations Programme on HIV/AIDS (UNAIDS)
266,Jordan,Recep_State,
267,"Kanagawa Prefecture, Japan",Local Governments,"Kanagawa Prefecture, Japan"
268,Kanazawa University,Academic Institutions,Kanazawa University
269,Karnis and Hals Chemicals PVT Ltd.,Others,Karnis and Hals Chemicals PVT Ltd.
270,"Karolinska Institutet, Sweden",Academic Institutions,"Karolinska Institutet, Sweden"
271,Kazakhstan,Member States - Voluntary Specified,Kazakhstan
272,Kenya,Recep_State,
273,"KfW Entwicklungsbank, Germany",Member States - Voluntary Specified,Germany
274,"King Salman Humanitarian Aid & Relief Center, KSrelief",Philanthropic Foundations,"King Salman Humanitarian Aid & Relief Center, KSrelief"
275,King's College London,Academic Institutions,King's College London
276,Kiribati,Recep_State,
277,KNCV Tuberculosis Foundation,Philanthropic Foundations,KNCV Tuberculosis Foundation
278,"Kobe Group (Hyogo Prefecture Kobe Chamber of Commerce and Industry and Kobe Steel, Ltd.)",Private Sector Entities,"Kobe Group (Hyogo Prefecture Kobe Chamber of Commerce and Industry and Kobe Steel, Ltd.)"
279,Korea Centers for Disease Control and Prevention,Member States - Voluntary Specified,Republic of Korea
280,Korea International Cooperation Agency (KOICA),Member States - Voluntary Specified,Republic of Korea
281,Korea Suicide Prevention Center,Member States - Voluntary Specified,Republic of Korea
282,Korean Foundation for International Healthcare - Dr Lee Jong-Wook Memorial Fund (KOFIH),Non Governmental Organizations,Korean Foundation for International Healthcare - Dr Lee Jong-Wook Memorial Fund (KOFIH)
283,Kuwait,Member States - Voluntary Specified,Kuwait
284,Kuwait Fund for Arab Economic Development (KFAED),Member States - Voluntary Specified,Kuwait
285,Kyrgyzstan,Member States - Voluntary Specified,Kyrgyzstan
286,"La Métropole Grand Lyon, France",Local Governments,"La Métropole Grand Lyon, France"
287,Labiofam,Private Sector Entities,Labiofam
288,Landcent (China) Industrial & Development Co. Ltd.,Private Sector Entities,Landcent (China) Industrial & Development Co. Ltd.
289,Lao People's Democratic Republic,Member States - Voluntary Specified,Lao People's Democratic Republic
290,Latvia,Recep_State,
291,League of Arab States,Intergovernmental Organizations,League of Arab States
292,Lebanon,Member States - Voluntary Specified,Lebanon
293,Lesotho,Member States - Voluntary Specified,Lesotho
294,Liberia,Member States - Voluntary Specified,Liberia
295,Libya,Member States - Voluntary Specified,Libya
296,Life Ideas Textiles Company Ltd.,Private Sector Entities,Life Ideas Textiles Company Ltd.
297,Lifefilta,Private Sector Entities,Lifefilta
298,Lions Clubs International Foundation,Philanthropic Foundations,Lions Clubs International Foundation
299,Lithuania,Member States - Voluntary Specified,Lithuania
300,"Lombardia, Italy",Local Governments,"Lombardia, Italy"
301,London School of Hygiene and Tropical Medicine,Academic Institutions,London School of Hygiene and Tropical Medicine
302,L'Union Économique et Monétaire Ouest-Africaine (UEMOA),Development Banks and Funds,L'Union Économique et Monétaire Ouest-Africaine (UEMOA)
303,Lux-Development (Societé Luxembourgeoise pour la Cooperation Internationale),Member States - Voluntary Specified,Luxembourg
304,Luxembourg,Member States - Voluntary Specified,Luxembourg
305,"Macao, SAR, People’s Republic of China",Local Governments,"Macao, SAR, People’s Republic of China"
306,Madagascar,Member States - Voluntary Specified,Madagascar
307,"Mahidol University, Thailand",Academic Institutions,"Mahidol University, Thailand"
308,Malaria Consortium,Non Governmental Organizations,Malaria Consortium
309,Malawi,Member States - Voluntary Specified,Malawi
310,Malaysia,Member States - Voluntary Specified,Malaysia
311,Maldives,Member States - Voluntary Specified,Maldives
312,Mali,Recep_State,
313,Malta,Recep_State,
314,Mapfre Foundation,Private Sector Entities,Mapfre Foundation
315,March of Dimes Foundation,Philanthropic Foundations,March of Dimes Foundation
316,Margaret A. Cargill Foundation,Philanthropic Foundations,Margaret A. Cargill Foundation
317,Marius Nasta National Institute for Pneumology,Academic Institutions,Marius Nasta National Institute for Pneumology
318,Marshall Islands,Recep_State,
319,Mauritania,Member States - Voluntary Specified,Mauritania
320,Mauritius,Recep_State,
321,Médecins Sans Frontières (MSF),Non Governmental Organizations,Médecins Sans Frontières (MSF)
322,Medentech Ltd.,Private Sector Entities,Medentech Ltd.
323,Medicines for Malaria Venture (MMV),Non Governmental Organizations,Medicines for Malaria Venture (MMV)
